DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION,HOUR
220900819,2022-06-26,2022-06-23,2058,Van Nuys,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",63.0,F,W,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,SEPULVEDA,20
231412771,2023-06-23,2023-06-22,2000,Pacific,BURGLARY,46.0,M,H,Unknown,Invest Cont,13000    MINDANAO                     WY,20
220714895,2022-10-05,2022-10-04,100,Wilshire,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),60.0,M,B,Unknown,Invest Cont,1100 S  RIDGELEY                     DR,1
221710005,2022-06-12,2022-06-12,1,Devonshire,BATTERY - SIMPLE ASSAULT,22.0,M,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,9300    TAMPA                        AV,0
221513521,2022-08-12,2022-08-12,1,N Hollywood,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",63.0,F,H,Unknown,Adult Other,6500    WILKINSON                    AV,0
231900542,2023-01-21,2023-01-21,2000,Mission,BRANDISH WEAPON,47.0,M,H,KITCHEN KNIFE,Adult Other,12600    SAN FERNANDO                 RD,20
230404790,2023-01-23,2023-01-23,1144,Hollenbeck,STALKING,19.0,F,H,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,5100    STATE UNIVERSITY             DR,11
221316330,2022-08-19,2022-08-18,1930,Newton,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",31.0,F,H,Unknown,Invest Cont,200 W  37TH                         PL,19
231309372,2023-04-18,2023-04-18,800,Newton,INTIMATE PARTNER - SIMPLE ASSAULT,48.0,F,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,100 W  58TH                         ST,8
220313525,2022-07-10,2022-07-08,2100,Southwest,BURGLARY,71.0,M,H,Unknown,Invest Cont,1700 W  36TH                         ST,21
220214623,2022-08-11,2022-08-11,2045,Rampart,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",33.0,F,W,BOARD,Invest Cont,VIRGIL,20
230804963,2023-01-07,2023-01-07,1035,West LA,THEFT OF IDENTITY,24.0,F,W,Unknown,Invest Cont,11700    DARLINGTON                   AV,10
230906006,2023-02-20,2023-02-19,1415,Van Nuys,BURGLARY FROM VEHICLE,40.0,M,V,Unknown,Invest Cont,15100    BURBANK                      BL,14
221613712,2022-10-28,2022-10-27,1859,Foothill,BURGLARY,43.0,M,O,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,11000    RENAISSANCE                  DR,18
230308147,2023-03-22,2023-03-22,1720,Southwest,THEFT PLAIN - ATTEMPT,24.0,M,A,Unknown,Adult Other,3600    TROUSDALE                    PK,17
230804567,2023-01-15,2022-10-01,800,West LA,BIKE - STOLEN,35.0,M,O,Unknown,Invest Cont,11300    LA GRANGE                    AV,8
221219008,2022-09-01,2022-09-01,1730,77th Street,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",72.0,F,B,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,600 W  80TH                         ST,17
220120697,2022-09-16,2022-09-06,1850,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),24.0,M,H,Unknown,Invest Cont,600 S  BROADWAY,18
230505611,2023-02-13,2023-02-13,2100,Harbor,INTIMATE PARTNER - AGGRAVATED ASSAULT,34.0,M,H,UNKNOWN WEAPON/OTHER WEAPON,Adult Other,19500    NORMANDIE                    AV,21
230305683,2023-02-03,2023-02-03,611,Southwest,THEFT OF IDENTITY,36.0,F,B,Unknown,Invest Cont,4200 S  WESTERN                      AV,6
230113348,2023-05-31,2023-05-31,500,Central,ROBBERY,62.0,M,B,MACE/PEPPER SPRAY,Invest Cont,8TH,5
231214034,2023-06-17,2023-06-17,100,77th Street,INTIMATE PARTNER - AGGRAVATED ASSAULT,33.0,F,B,VEHICLE,Adult Other,7300 S  HOOVER                       ST,1
231208652,2023-03-19,2023-03-18,1820,77th Street,BURGLARY,22.0,M,H,Unknown,Invest Cont,8500    WADSWORTH                    AV,18
230708024,2023-04-03,2023-04-03,1333,Wilshire,PICKPOCKET,29.0,F,O,Unknown,Invest Cont,100    THE GROVE                    DR,13
231509008,2023-04-28,2023-04-28,2245,N Hollywood,INTIMATE PARTNER - SIMPLE ASSAULT,43.0,M,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,5200    CRANER                       AV,22
230705257,2023-01-30,2023-01-29,2230,Wilshire,BURGLARY,30.0,M,W,Unknown,Invest Cont,4500 W  16TH                         PL,22
221715599,2022-11-03,2022-11-03,1400,Devonshire,BURGLARY FROM VEHICLE,46.0,M,H,Unknown,Invest Cont,8400    BALBOA                       BL,14
220515681,2022-11-05,2022-11-05,1330,Harbor,CRIMINAL THREATS - NO WEAPON DISPLAYED,48.0,M,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,ANAHEIM,13
232011256,2023-06-07,2023-06-07,2020,Olympic,VIOLATION OF COURT ORDER,39.0,F,H,Unknown,Invest Cont,1900 S  HARVARD                      BL,20
221513289,2022-08-01,2022-08-01,1740,N Hollywood,THEFT OF IDENTITY,33.0,F,W,Unknown,Invest Cont,11700    KITTRIDGE                    ST,17
221712439,2022-08-15,2022-08-15,1850,Devonshire,INTIMATE PARTNER - SIMPLE ASSAULT,26.0,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,8700    INDEPENDENCE                 AV,18
230107330,2023-02-19,2023-02-19,130,Central,BATTERY - SIMPLE ASSAULT,25.0,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,800    WILSHIRE                     BL,1
222115764,2022-10-23,2022-10-21,1930,Topanga,BIKE - STOLEN,38.0,M,X,Unknown,Invest Cont,6700    TOPANGA CANYON               BL,19
230506898,2023-03-20,2023-02-19,1430,Harbor,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),53.0,M,F,Unknown,Invest Cont,700 W  28TH                         ST,14
220322160,2022-12-21,2022-12-21,924,Southwest,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",22.0,M,H,Unknown,Invest Cont,2700    HAUSER                       BL,9
232107074,2023-03-23,2023-03-09,1800,Topanga,BRANDISH WEAPON,13.0,M,H,KNIFE WITH BLADE 6INCHES OR LESS,Adult Other,6900    OWENSMOUTH                   AV,18
222012443,2022-07-19,2022-07-19,1150,Olympic,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",39.0,M,B,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,Invest Cont,3400 W  6TH                          ST,11
231908345,2023-04-23,2023-04-20,2300,Mission,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",67.0,F,H,Unknown,Invest Cont,8300    WILLIS                       AV,23
230607355,2023-03-15,2023-02-13,1440,Hollywood,THEFT OF IDENTITY,51.0,F,H,Unknown,Invest Cont,1600 N  SYCAMORE                     AV,14
221701211,2022-11-19,2022-11-18,2000,Devonshire,BURGLARY,46.0,F,W,Unknown,Invest Cont,11700    THUNDERBIRD                  AV,20
230909896,2023-05-27,2023-05-26,1910,Van Nuys,VIOLATION OF RESTRAINING ORDER,45.0,M,W,Unknown,Invest Cont,4100    STANSBURY                    AV,19
230111580,2023-04-30,2023-04-29,2200,Central,THEFT PLAIN - PETTY ($950 & UNDER),57.0,M,H,Unknown,Invest Cont,500 S  SAN PEDRO                    ST,22
220816621,2022-10-19,2022-10-19,353,West LA,THEFT OF IDENTITY,63.0,M,W,Unknown,Invest Cont,500 W  RUSTIC                       RD,3
220317863,2022-10-04,2022-10-02,130,Southwest,VIOLATION OF COURT ORDER,44.0,F,H,Unknown,Adult Other,2800    3RD                          AV,1
230108605,2023-03-14,2023-03-13,2216,Central,ATTEMPTED ROBBERY,45.0,M,O,HAND GUN,Invest Cont,11TH,22
230905279,2023-02-04,2023-01-20,1930,Van Nuys,SHOPLIFTING - PETTY THEFT ($950 & UNDER),19.0,F,H,Unknown,Invest Cont,14900    RAYMER                       ST,19
222014484,2022-06-04,2022-06-02,1003,Olympic,THEFT PLAIN - PETTY ($950 & UNDER),29.0,M,W,Unknown,Invest Cont,3800 W  8TH                          ST,10
230111683,2023-05-02,2023-05-02,922,Central,BATTERY - SIMPLE ASSAULT,47.0,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,CESAR E CHAVEZ,9
220615182,2022-08-26,2022-08-26,200,Hollywood,BATTERY - SIMPLE ASSAULT,28.0,F,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1300    WILCOX                       AV,2
220511791,2022-07-26,2022-07-26,1400,Harbor,EXTORTION,16.0,M,B,Unknown,Invest Cont,1300 S  TROTWOOD                     AV,14
231306322,2023-02-13,2023-02-13,2000,Newton,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",43.0,M,H,HAMMER,Invest Cont,54TH                         ST,20
231006066,2023-02-22,2022-11-29,1200,West Valley,"BUNCO, GRAND THEFT",63.0,M,W,Unknown,Invest Cont,18400    VALERIO                      ST,12
220321221,2022-12-02,2022-12-02,600,Southwest,THEFT OF IDENTITY,34.0,F,H,Unknown,Invest Cont,1100    LEIGHTON                     AV,6
220113543,2022-06-04,2022-06-04,700,Central,FALSE IMPRISONMENT,20.0,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,200 S  OLIVE                        ST,7
221012588,2022-08-08,2022-08-08,1800,West Valley,VIOLATION OF COURT ORDER,73.0,M,O,Unknown,Invest Cont,18500    ROSCOE                       BL,18
221513413,2022-08-08,2022-08-08,2135,N Hollywood,THEFT OF IDENTITY,38.0,F,A,Unknown,Invest Cont,3100    BARBARA                      CT,21
220414615,2022-10-23,2022-10-23,700,Hollenbeck,CRIMINAL THREATS - NO WEAPON DISPLAYED,32.0,F,A,VERBAL THREAT,Adult Arrest,2600    ALTA                         ST,7
231204570,2023-01-10,2023-01-10,1410,77th Street,BATTERY - SIMPLE ASSAULT,29.0,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1700 W  64TH                         ST,14
222116397,2022-11-07,2022-11-07,1757,Topanga,VIOLATION OF RESTRAINING ORDER,50.0,F,H,Unknown,Invest Cont,7800    TOPANGA CANYON               BL,17
220121459,2022-09-28,2022-09-27,1800,Central,BURGLARY FROM VEHICLE,33.0,F,H,Unknown,Invest Cont,1500 S  GRAND                        AV,18
220716001,2022-11-01,2022-10-30,1800,Wilshire,BURGLARY FROM VEHICLE,27.0,F,B,Unknown,Invest Cont,600 S  DUNSMUIR                     AV,18
220915970,2022-11-09,2022-11-09,1450,Van Nuys,CRIMINAL THREATS - NO WEAPON DISPLAYED,35.0,M,W,VERBAL THREAT,Adult Arrest,4500    WILLIS                       AV,14
221011095,2022-07-01,2022-06-06,1200,West Valley,THEFT OF IDENTITY,68.0,M,W,Unknown,Invest Cont,18400    CORAZON CIR,12
221514785,2022-09-12,2022-09-11,1545,N Hollywood,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),37.0,F,H,Unknown,Invest Cont,10900    BLOOMFIELD                   ST,15
220714953,2022-10-06,2022-10-03,5,Wilshire,THEFT OF IDENTITY,54.0,M,H,Unknown,Invest Cont,5200 W  PICO                         BL,0
231307062,2023-03-01,2022-12-01,720,Newton,THEFT OF IDENTITY,47.0,F,H,Unknown,Invest Cont,4100    ZAMORA                       ST,7
221916414,2022-11-03,2022-11-02,2030,Mission,BATTERY - SIMPLE ASSAULT,25.0,F,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,MOONBEAM                     AV,20
221114892,2022-10-10,2022-10-09,1935,Northeast,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",39.0,F,W,Unknown,Invest Cont,RODNEY                       DR,19
221320308,2022-11-02,2022-11-02,730,Newton,THEFT OF IDENTITY,24.0,F,B,Unknown,Invest Cont,2600 S  GRAND                        AV,7
221813397,2022-06-27,2022-06-27,1745,Southeast,VEHICLE - ATTEMPT STOLEN,26.0,M,H,Unknown,Invest Cont,11700 S  MAIN                         ST,17
222019648,2022-12-24,2022-12-24,1010,Olympic,BATTERY - SIMPLE ASSAULT,29.0,F,O,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,4000 W  3RD                          ST,10
220322362,2022-12-26,2022-12-24,400,Southwest,BURGLARY FROM VEHICLE,32.0,F,H,Unknown,Invest Cont,42ND                         ST,4
220122432,2022-10-13,2022-10-06,2230,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",46.0,F,H,UNKNOWN WEAPON/OTHER WEAPON,Adult Other,700 S  MAIN                         ST,22
221413179,2022-06-29,2022-06-29,1845,Pacific,BURGLARY FROM VEHICLE,27.0,M,O,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,3700 S  CANFIELD                     AV,18
231207495,2023-02-27,2023-02-27,1145,77th Street,VEHICLE - ATTEMPT STOLEN,27.0,F,B,Unknown,Invest Cont,2700 W  60TH                         ST,11
231809808,2023-05-02,2023-05-02,810,Southeast,INTIMATE PARTNER - SIMPLE ASSAULT,21.0,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,200 E  COLDEN                       AV,8
220911572,2022-07-15,2022-07-14,2100,Van Nuys,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),30.0,M,W,Unknown,Invest Cont,4500    KESTER                       AV,21
231211028,2023-04-27,2023-04-27,2310,77th Street,BATTERY - SIMPLE ASSAULT,27.0,F,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,81ST                         ST,23
230610781,2023-06-05,2023-06-05,230,Hollywood,BRANDISH WEAPON,27.0,M,O,HAND GUN,Invest Cont,7100 W  SUNSET                       BL,2
220615235,2022-08-26,2022-08-26,2030,Hollywood,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",52.0,M,H,BOTTLE,Invest Cont,1500 N  KINGSLEY                     DR,20
220910226,2022-06-12,2022-06-10,1540,Van Nuys,BURGLARY FROM VEHICLE,38.0,M,H,Unknown,Invest Cont,6300    WOODMAN                      AV,15
231010240,2023-06-12,2023-06-12,955,West Valley,INTIMATE PARTNER - SIMPLE ASSAULT,21.0,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,ZELZAH                       AV,9
230106716,2023-02-10,2023-02-10,700,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),47.0,M,H,Unknown,Invest Cont,3RD,7
